Date,Open,High,Low,Close,Volume
2020-11-24 18:00:00,605.15,605.64,439.72,569.84,5004.20397316
2020-11-25 18:00:00,569.43,576.64,465.96,516.44,9383.30509045
2020-11-26 18:00:00,519.73,529.98,494.71,517.83,2100.96898738
2020-11-27 18:00:00,518.96,547.88,507.43,536.66,2416.0609109
2020-11-28 18:00:00,538.81,576.17,530.83,576.17,2146.73001392
2020-11-29 18:00:00,576.64,615.98,571.26,615.98,4214.23309681
2020-11-30 18:00:00,615.99,635.65,566.7,585.91,8009.15806551
2020-12-01 18:00:00,585.35,604.09,575.91,597.52,2522.52109065
2020-12-02 18:00:00,597.52,622.82,586.78,617.08,1995.80021017
2020-12-03 18:00:00,616.21,618.98,565.0,567.89,2812.89246048
2020-12-04 18:00:00,567.73,596.85,561.99,596.85,1334.72413823
2020-12-05 18:00:00,596.85,606.63,576.66,602.71,2255.2984551
2020-12-06 18:00:00,602.15,602.76,584.58,591.65,765.09803055
2020-12-07 18:00:00,590.41,594.59,550.0,553.64,3909.88902002
2020-12-08 18:00:00,554.35,577.19,530.44,574.31,2252.02916976
2020-12-09 18:00:00,573.77,574.28,548.96,558.34,1714.47167388
2020-12-10 18:00:00,559.36,559.36,535.81,544.71,2832.30647519
2020-12-11 18:00:00,543.42,573.92,543.41,567.03,2905.32424925
2020-12-12 18:00:00,569.21,594.46,564.0,589.85,3297.76540659
2020-12-13 18:00:00,589.28,591.41,574.99,586.9,1396.0210617
2020-12-14 18:00:00,587.2,596.27,578.0,589.13,1341.65050267
2020-12-15 18:00:00,589.1,715.0,580.97,637.0,6079.3531353
2020-12-16 18:00:00,637.99,676.0,628.0,644.2,11858.32420856
2020-12-17 18:00:00,643.11,663.43,630.1,654.48,2078.71483577
2020-12-18 18:00:00,654.8,667.99,645.45,659.31,1609.41538004
2020-12-19 18:00:00,657.61,660.5,620.0,637.89,2530.25829377
2020-12-20 18:00:00,637.6,647.47,597.64,608.31,3386.62766001
2020-12-21 18:00:00,607.45,638.03,582.0,636.96,2722.99997521
2020-12-22 18:00:00,637.13,637.85,550.0,585.23,2846.18800389
2020-12-23 18:00:00,585.51,614.81,566.03,612.57,2437.92408177
2020-12-24 18:00:00,613.32,634.14,605.53,626.28,2158.70974535
2020-12-25 18:00:00,627.77,652.84,616.38,635.77,2470.41954299
2020-12-26 18:00:00,637.25,715.0,616.76,684.37,12391.41072276
2020-12-27 18:00:00,685.12,747.98,682.25,730.55,8011.8217307
